notation,hierarcylevel,type,prefLabel@de,prefLabel@en,prefLabel@fr,altLabel@de,altLabel@en,altLabel@fr,definition@de,broader,related,source,creator,exactMatch,closeMatch,relatedMatch,broadMatch,narrowMatch,seeAlso
AB4988,7.0,Q2,Fasern tierischen Ursprungs,,,Tierfaser| tierische Faser,,,"NatÃ¼rliche Fasern, die aus den Haarfollikeln oder den Sekreten von Tieren gewonnen werden und basierend auf ihren jeweiligen Eigenschaften im kulturellen Kontext fÃ¼r verschiedene Anwendungen wie z.B. Kleidung, FÃ¤den oder Dekor verarbeitet wurden.",F2A45F,,"DIN EN ISO 6938 |Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 127/128.",LEIZA,,https://cameo.mfa.org/wiki/Animal_fibers | https://vocab.getty.edu/aat/300386673,,,,
G899F5,8.0,Q2,Haar,hair,,,,,"NatÃ¼rliche, faserartige Gebilde aus Keratin, die aus der Haut von SÃ¤ugetieren wachsen.",AB4988,,,LEIZA,,https://vocab.getty.edu/aat/300011814,,,,
AA992C,9.0,Q2,Menschenhaar,human hair,,menschliches Haar,,,natÃ¼rliches Material aus den Haaren des menschlichen Kopfes.,G899F5,,"Antoinette Rast-Eicher, Fibres. Microscopy of archaeological textiles and furs (Budapest 2016) S. 273/274.",LEIZA,,https://vocab.getty.edu/aat/300011820,,,,
F8DFCG,9.0,Q2,Tierhaar,,,tierisches Haar|Fell,,,"natÃ¼rliches Material aus dem Fell, Pelz oder der Behaarung von Tieren.",G899F5,,,LEIZA,,,,,,
DF96G1,10.0,Q2,Wolle,wool,,,,,"tierische Faser (Stapelfaser) aus dem charakteristischen Haarkleid des Schafes. Die Bezeichnung Wolle wird im allgemeinem Sprachgebrauch auch fÃ¼r die Haare anderer Tierarten verwendet, allerdings sollte zur Differenzierung deren Namen hinzugefÃ¼gt werden. ",F8DFCG,,DIN EN ISO 6938| CIETA Vocabularies - Vokabular der Textiltechniken,LEIZA,,https://cameo.mfa.org/wiki/Wool | https://vocab.getty.edu/aat/300014074,,,,
CG49C6,11.0,Q2,Alpakawolle,,,Alpaka,,,tierische Fasern aus dem Wollhaar des Alpakas,F8DFCG,,DIN EN ISO 6938,LEIZA,,,,,,
AA47GG,11.0,Q2,Mohairwolle,,,Mohair,,,tierische Fasern aus der Wolle/den Haaren der Angoraziege,F8DFCG,,DIN EN ISO 6938,LEIZA,,,,,,
B576DA,11.0,Q2,Kaschmirwolle,,,Kaschmir,,,tierische Fasern aus der Wolle/den Haaren der Kaschmirziege,F8DFCG,,DIN EN ISO 6938,LEIZA,,,,,,
A9AC1A,11.0,Q2,Kaninchenhaar,,,Kaninchen,,,tierische Fasern aus den Haaren des Haus- oder Wildkaninchens,F8DFCG,,ISO 6938,LEIZA,,,,,,
BG71D3,11.0,Q2,Schweineborsten,,,,,,tierische Fasern aus den borstigen Haaren des Hausschweines,F8DFCG,," Jochem Wolters, Der Gold- und Silberschmied. Band 1 - Werkstoffe und Materialien (Stuttgart 1989),S. 267.",LEIZA,,,,,,
